@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
2331,'2025/02/28 23:17:21:903',6,-0.974191,-0.105074,-0.196708,0.439058,-0.448657,0.714337,0,0,?,?,?,?
2332,'2025/02/28 23:17:21:914',6,-0.97413,-0.105634,-0.196794,0.430401,-0.455467,0.709173,0,0,?,?,?,?
2333,'2025/02/28 23:17:21:924',6,-0.974193,-0.106094,-0.19691,0.422758,-0.462907,0.704656,0,0,?,?,?,?
2334,'2025/02/28 23:17:21:934',6,-0.97435,-0.106287,-0.197273,0.415705,-0.470655,0.70008,0,0,?,?,?,?
2335,'2025/02/28 23:17:21:951',6,-0.97456,-0.10644,-0.197687,0.403711,-0.484556,0.691132,0,0,?,?,?,?
2336,'2025/02/28 23:17:21:955',6,-0.974902,-0.106519,-0.198119,0.403711,-0.484556,0.691132,0,0,?,?,?,?
2337,'2025/02/28 23:17:21:966',6,-0.975371,-0.106487,-0.198531,0.400691,-0.489471,0.68631,0,0,?,?,?,?
2338,'2025/02/28 23:17:21:977',6,-0.97585,-0.106306,-0.198844,0.400293,-0.49232,0.680954,0,0,?,?,?,?
2339,'2025/02/28 23:17:21:988',6,-0.976232,-0.105996,-0.199019,0.402477,-0.492987,0.675149,0,0,?,?,?,?
2340,'2025/02/28 23:17:21:996',6,-0.976492,-0.105617,-0.199051,0.407241,-0.492166,0.668724,0,0,?,?,?,?
2341,'2025/02/28 23:17:22:006',6,-0.976704,-0.105145,-0.19883,0.414729,-0.490481,0.661259,0,0,?,?,?,?
2342,'2025/02/28 23:17:22:018',6,-0.976911,-0.104639,-0.19839,0.425558,-0.487626,0.652293,0,0,?,?,?,?
2343,'2025/02/28 23:17:22:027',6,-0.977096,-0.104197,-0.197855,0.439762,-0.483582,0.643357,0,0,?,?,?,?
2344,'2025/02/28 23:17:22:037',6,-0.977288,-0.103898,-0.19723,0.45646,-0.477485,0.633901,0,0,?,?,?,?
2345,'2025/02/28 23:17:22:047',6,-0.977575,-0.103723,-0.196558,0.473336,-0.469859,0.623776,0,0,?,?,?,?
2346,'2025/02/28 23:17:22:060',6,-0.977811,-0.103453,-0.195907,0.491262,-0.460748,0.613067,0,0,?,?,?,?
2347,'2025/02/28 23:17:22:069',6,-0.978052,-0.103116,-0.195209,0.510146,-0.450613,0.602187,0,0,?,?,?,?
2348,'2025/02/28 23:17:22:078',6,-0.978313,-0.102715,-0.194423,0.52944,-0.439377,0.591877,0,0,?,?,?,?
2349,'2025/02/28 23:17:22:093',6,-0.978515,-0.102271,-0.193624,0.54893,-0.426009,0.582873,0,0,?,?,?,?
2350,'2025/02/28 23:17:22:101',6,-0.978627,-0.101806,-0.192871,0.56894,-0.409171,0.575716,0,0,?,?,?,?
2351,'2025/02/28 23:17:22:113',6,-0.978763,-0.10136,-0.192143,0.590031,-0.389319,0.571083,0,0,?,?,?,?
2352,'2025/02/28 23:17:22:122',6,-0.978963,-0.101071,-0.191437,0.612249,-0.369673,0.569574,0,0,?,?,?,?
2353,'2025/02/28 23:17:22:134',6,-0.979163,-0.100964,-0.190766,0.635573,-0.353261,0.56797,0,0,?,?,?,?
2354,'2025/02/28 23:17:22:140',6,-0.979278,-0.101013,-0.190179,0.657195,-0.343741,0.565576,0,0,?,?,?,?
2355,'2025/02/28 23:17:22:150',6,-0.979287,-0.101171,-0.189794,0.677162,-0.34125,0.561808,0,0,?,?,?,?
2356,'2025/02/28 23:17:22:161',6,-0.979261,-0.101362,-0.18947,0.696085,-0.34438,0.556521,0,0,?,?,?,?
2357,'2025/02/28 23:17:22:171',6,-0.979265,-0.10152,-0.189197,0.713963,-0.351622,0.549684,0,0,?,?,?,?
2358,'2025/02/28 23:17:22:182',6,-0.979299,-0.101624,-0.188989,0.730063,-0.361976,0.541486,0,0,?,?,?,?
2359,'2025/02/28 23:17:22:195',6,-0.979297,-0.101689,-0.188886,0.744265,-0.374324,0.532135,0,0,?,?,?,?
2360,'2025/02/28 23:17:22:202',6,-0.979251,-0.101781,-0.188908,0.757037,-0.38745,0.522134,0,0,?,?,?,?
2361,'2025/02/28 23:17:22:212',6,-0.979236,-0.101943,-0.189008,0.767138,-0.399533,0.511944,0,0,?,?,?,?
2362,'2025/02/28 23:17:22:226',6,-0.979261,-0.102185,-0.189157,0.776567,-0.410214,0.501819,0,0,?,?,?,?
2363,'2025/02/28 23:17:22:233',6,-0.9793,-0.102394,-0.189358,0.776567,-0.410214,0.501819,0,0,?,?,?,?
2364,'2025/02/28 23:17:22:243',6,-0.979365,-0.102419,-0.189566,0.784637,-0.419453,0.491826,0,0,?,?,?,?
2365,'2025/02/28 23:17:22:262',6,-0.979458,-0.102268,-0.189731,0.797209,-0.432462,0.473132,0,0,?,?,?,?
2366,'2025/02/28 23:17:22:263',6,-0.979507,-0.102073,-0.189844,0.797209,-0.432462,0.473132,0,0,?,?,?,?
2367,'2025/02/28 23:17:22:274',6,-0.979492,-0.101886,-0.189779,0.801949,-0.435852,0.464204,0,0,?,?,?,?
2368,'2025/02/28 23:17:22:284',6,-0.979453,-0.101698,-0.189557,0.805891,-0.437386,0.455316,0,0,?,?,?,?
2369,'2025/02/28 23:17:22:300',6,-0.979425,-0.101542,-0.189217,0.81207,-0.435949,0.43825,0,0,?,?,?,?
2370,'2025/02/28 23:17:22:310',6,-0.979418,-0.101523,-0.188814,0.81207,-0.435949,0.43825,0,0,?,?,?,?
2371,'2025/02/28 23:17:22:316',6,-0.979431,-0.101573,-0.188376,0.814463,-0.432409,0.43004,0,0,?,?,?,?
2372,'2025/02/28 23:17:22:325',6,-0.979433,-0.101554,-0.1879,0.816679,-0.428292,0.422156,0,0,?,?,?,?
2373,'2025/02/28 23:17:22:335',6,-0.979479,-0.101433,-0.187365,0.818865,-0.423751,0.414582,0,0,?,?,?,?
2374,'2025/02/28 23:17:22:345',6,-0.979596,-0.101258,-0.186856,0.821287,-0.419022,0.407287,0,0,?,?,?,?
2375,'2025/02/28 23:17:22:356',6,-0.979699,-0.101091,-0.186436,0.823915,-0.414441,0.400262,0,0,?,?,?,?
2376,'2025/02/28 23:17:22:366',6,-0.979792,-0.100945,-0.186042,0.826702,-0.410101,0.393475,0,0,?,?,?,?
2377,'2025/02/28 23:17:22:377',6,-0.979863,-0.100708,-0.185663,0.829694,-0.405972,0.386957,0,0,?,?,?,?
2378,'2025/02/28 23:17:22:387',6,-0.979853,-0.100368,-0.185314,0.832817,-0.402101,0.380588,0,0,?,?,?,?
2379,'2025/02/28 23:17:22:404',6,-0.979761,-0.100105,-0.185066,0.832817,-0.402101,0.380588,0,0,?,?,?,?
2380,'2025/02/28 23:17:22:407',6,-0.979692,-0.099921,-0.184925,0.840359,-0.394438,0.368055,0,0,?,?,?,?
2381,'2025/02/28 23:17:22:418',6,-0.979655,-0.099787,-0.184906,0.844048,-0.390504,0.362063,0,0,?,?,?,?
2382,'2025/02/28 23:17:22:431',6,-0.979644,-0.099726,-0.185009,0.847664,-0.386742,0.356319,0,0,?,?,?,?
2383,'2025/02/28 23:17:22:438',6,-0.979686,-0.099712,-0.185197,0.851208,-0.383152,0.35076,0,0,?,?,?,?
2384,'2025/02/28 23:17:22:448',6,-0.979737,-0.099674,-0.185458,0.854571,-0.37979,0.345414,0,0,?,?,?,?
2385,'2025/02/28 23:17:22:459',6,-0.979722,-0.099603,-0.185728,0.857748,-0.376802,0.340293,0,0,?,?,?,?
2386,'2025/02/28 23:17:22:469',6,-0.97967,-0.099492,-0.185944,0.860689,-0.374185,0.335355,0,0,?,?,?,?
2387,'2025/02/28 23:17:22:482',6,-0.979609,-0.099361,-0.186084,0.863339,-0.371826,0.330565,0,0,?,?,?,?
2388,'2025/02/28 23:17:22:502',6,-0.979575,-0.099307,-0.186179,0.867854,-0.367698,0.321517,0,0,?,?,?,?
2389,'2025/02/28 23:17:22:503',6,-0.979572,-0.099353,-0.186149,0.867854,-0.367698,0.321517,0,0,?,?,?,?
2390,'2025/02/28 23:17:22:511',6,-0.979641,-0.099446,-0.186014,0.869813,-0.365997,0.317342,0,0,?,?,?,?
2391,'2025/02/28 23:17:22:520',6,-0.979767,-0.099496,-0.185801,0.869813,-0.365997,0.317342,0,0,?,?,?,?
2392,'2025/02/28 23:17:22:533',6,-0.979911,-0.099491,-0.185534,0.873646,-0.363081,0.309617,0,0,?,?,?,?
2393,'2025/02/28 23:17:22:542',6,-0.980065,-0.099398,-0.185172,0.873646,-0.363081,0.309617,0,0,?,?,?,?
2394,'2025/02/28 23:17:22:551',6,-0.980228,-0.099216,-0.184734,0.8774,-0.360816,0.302569,0,0,?,?,?,?
2395,'2025/02/28 23:17:22:568',6,-0.980393,-0.099033,-0.184261,0.87937,-0.359931,0.299337,0,0,?,?,?,?
2396,'2025/02/28 23:17:22:576',6,-0.98058,-0.098876,-0.183788,0.881432,-0.359187,0.296297,0,0,?,?,?,?
2397,'2025/02/28 23:17:22:583',6,-0.98078,-0.098774,-0.183387,0.883601,-0.358591,0.293425,0,0,?,?,?,?
2398,'2025/02/28 23:17:22:602',6,-0.980976,-0.098754,-0.183089,0.885845,-0.358118,0.290823,0,0,?,?,?,?
2399,'2025/02/28 23:17:22:602',6,-0.981223,-0.098739,-0.182876,0.885845,-0.358118,0.290823,0,0,?,?,?,?
2400,'2025/02/28 23:17:22:615',6,-0.981496,-0.098657,-0.182772,0.89029,-0.357066,0.286234,0,0,?,?,?,?
2401,'2025/02/28 23:17:22:623',6,-0.981769,-0.098475,-0.182716,0.89029,-0.357066,0.286234,0,0,?,?,?,?
2402,'2025/02/28 23:17:22:634',6,-0.981965,-0.098043,-0.182683,0.892367,-0.356423,0.284281,0,0,?,?,?,?
2403,'2025/02/28 23:17:22:644',6,-0.98213,-0.097608,-0.182739,0.894292,-0.355834,0.282543,0,0,?,?,?,?
2404,'2025/02/28 23:17:22:654',6,-0.982253,-0.097313,-0.182909,0.896095,-0.355296,0.281036,0,0,?,?,?,?
2405,'2025/02/28 23:17:22:664',6,-0.982352,-0.097138,-0.18313,0.897776,-0.354794,0.279754,0,0,?,?,?,?
2406,'2025/02/28 23:17:22:676',6,-0.982452,-0.097012,-0.183373,0.899317,-0.354287,0.278687,0,0,?,?,?,?
